epoch,train_mse,test_mse,train_r2,test_r2
1,4834.1871,4879.1449,0.0113,0.0127
2,1470.8003,1407.5428,0.6992,0.7152
3,3036.7892,3025.0045,0.3789,0.3879
4,691.3422,731.9663,0.8586,0.8519
5,654.8606,686.2386,0.8661,0.8611
6,500.0775,487.5876,0.8977,0.9013
7,544.0587,501.408,0.8887,0.8985
8,620.1991,669.7152,0.8732,0.8645
9,799.3492,803.6016,0.8365,0.8374
10,442.7081,449.7568,0.9095,0.909
11,742.1447,781.2829,0.8482,0.8419
12,417.8971,406.1051,0.9145,0.9178
13,358.8808,343.6226,0.9266,0.9305
14,431.5678,413.4618,0.9117,0.9163
15,502.1221,489.2626,0.8973,0.901
16,329.5102,336.2866,0.9326,0.9319
17,462.7549,467.8149,0.9054,0.9053
18,929.0063,951.8677,0.81,0.8074
19,645.6993,652.3187,0.8679,0.868
20,627.6033,655.4419,0.8716,0.8674
21,567.9954,607.7012,0.8838,0.877
22,330.3899,329.8395,0.9324,0.9333
23,749.6341,753.2163,0.8467,0.8476
24,1090.5223,1015.9038,0.777,0.7944
25,436.5514,468.7749,0.9107,0.9051
26,314.309,340.0323,0.9357,0.9312
27,447.5115,466.8132,0.9085,0.9055
28,351.9769,348.3741,0.928,0.9295
29,517.9082,487.3875,0.8941,0.9014
30,429.0016,441.258,0.9123,0.9107
31,448.9258,420.8576,0.9082,0.9148
32,349.3311,331.6213,0.9286,0.9329
33,481.6435,501.6038,0.9015,0.8985
34,399.2963,435.4781,0.9183,0.9119
35,598.1172,618.1456,0.8777,0.8749
36,257.1621,279.0072,0.9474,0.9435
37,326.9326,324.9948,0.9331,0.9342
38,293.3536,328.5024,0.94,0.9335
39,630.5152,639.8314,0.871,0.8705
40,306.8195,306.5684,0.9372,0.938
41,569.5902,579.7261,0.8835,0.8827
42,372.1349,364.4533,0.9239,0.9262
43,322.8868,354.4731,0.934,0.9283
44,407.6755,454.3055,0.9166,0.9081
45,475.9586,537.5196,0.9027,0.8912
46,289.2337,296.9756,0.9408,0.9399
47,607.4933,604.3222,0.8758,0.8777
48,447.1731,393.9518,0.9085,0.9203
49,264.7683,253.4708,0.9458,0.9487
50,467.8263,440.3245,0.9043,0.9109
51,353.6447,365.5893,0.9277,0.926
52,281.833,264.9451,0.9424,0.9464
53,718.1711,709.8917,0.8531,0.8563
54,377.1032,396.1896,0.9229,0.9198
55,167.3246,194.9743,0.9658,0.9605
56,351.6593,369.785,0.9281,0.9252
57,249.4219,253.282,0.949,0.9487
58,403.2454,445.2626,0.9175,0.9099
59,190.8118,191.6155,0.961,0.9612
60,277.1202,293.8364,0.9433,0.9405
61,241.4806,269.8616,0.9506,0.9454
62,298.8403,277.4795,0.9389,0.9438
63,302.7849,336.6377,0.9381,0.9319
64,197.2247,196.0733,0.9597,0.9603
65,177.6106,174.5473,0.9637,0.9647
66,258.0634,286.2532,0.9472,0.9421
67,215.0188,230.2491,0.956,0.9534
68,381.5861,428.6211,0.922,0.9133
69,165.4233,172.5964,0.9662,0.9651
70,176.3969,181.9052,0.9639,0.9632
71,483.434,522.4309,0.9011,0.8943
72,439.2469,498.055,0.9102,0.8992
73,314.2639,351.1628,0.9357,0.9289
74,168.5926,165.3097,0.9655,0.9665
75,291.6467,350.4492,0.9404,0.9291
76,270.4157,275.6579,0.9447,0.9442
77,241.7988,297.6129,0.9505,0.9398
78,224.0797,251.4466,0.9542,0.9491
79,226.3921,256.7376,0.9537,0.948
80,283.3281,324.8531,0.9421,0.9343
81,346.7191,399.4076,0.9291,0.9192
82,437.1259,458.1142,0.9106,0.9073
83,147.2637,175.2778,0.9699,0.9645
84,174.018,177.156,0.9644,0.9642
85,468.0713,541.0559,0.9043,0.8905
86,188.3791,211.8117,0.9615,0.9571
87,241.1298,229.8943,0.9507,0.9535
88,189.0948,234.1778,0.9613,0.9526
89,480.0624,556.714,0.9018,0.8873
90,183.0176,197.3102,0.9626,0.9601
91,154.7633,185.1915,0.9683,0.9625
92,131.1228,156.6144,0.9732,0.9683
93,166.7988,196.8028,0.9659,0.9602
94,134.5205,159.1517,0.9725,0.9678
95,189.3711,202.6972,0.9613,0.959
96,161.323,168.0743,0.967,0.966
97,412.7515,455.4992,0.9156,0.9078
98,548.6512,550.0745,0.8878,0.8887
99,180.9303,234.519,0.963,0.9525
100,298.9962,353.4108,0.9388,0.9285
