epoch,train_mse,test_mse,train_r2,test_r2
1,4785.5779,4925.6703,0.0006,0.0173
2,4778.766,4928.0452,0.002,0.0168
3,4776.3322,4939.791,0.0025,0.0144
4,4764.4985,4901.5055,0.005,0.0221
5,4735.943,4800.4477,0.0109,0.0422
6,4605.8377,4613.4672,0.0381,0.0795
7,4552.501,4945.6255,0.0492,0.0133
8,4460.0125,4573.6603,0.0686,0.0875
9,3332.314,3444.6033,0.3041,0.3128
10,2532.9165,2476.3909,0.471,0.5059
11,3973.1025,3564.5427,0.1702,0.2888
12,3225.6788,3009.4718,0.3263,0.3996
13,2453.9521,2317.3116,0.4875,0.5377
14,2799.0903,2822.2462,0.4154,0.4369
15,1794.5579,1670.1199,0.6252,0.6668
16,2515.1444,2563.7921,0.4747,0.4885
17,1750.7692,1464.986,0.6344,0.7077
18,1911.4882,1770.1282,0.6008,0.6468
19,2249.4234,2246.895,0.5302,0.5517
20,1377.3971,1147.1237,0.7123,0.7711
21,1101.8845,887.1193,0.7699,0.823
22,1804.3376,1351.47,0.6232,0.7304
23,1984.8979,1431.0832,0.5855,0.7145
24,1606.3819,1318.1335,0.6645,0.737
25,828.4679,687.8912,0.827,0.8628
26,1204.5379,1061.8445,0.7484,0.7881
27,679.7015,580.1013,0.858,0.8843
28,729.7527,673.9939,0.8476,0.8655
29,768.7222,720.3888,0.8395,0.8563
30,844.2399,703.0229,0.8237,0.8597
31,564.7789,487.4467,0.882,0.9027
32,940.1571,854.6398,0.8037,0.8295
33,1291.1447,1057.7097,0.7304,0.789
34,1301.9769,1160.899,0.7281,0.7684
35,568.1007,522.6594,0.8814,0.8957
36,560.173,528.4632,0.883,0.8946
37,560.088,464.2133,0.883,0.9074
38,685.4977,585.7599,0.8568,0.8831
39,1334.3308,1065.0535,0.7213,0.7875
40,638.5005,519.1957,0.8667,0.8964
41,923.4169,921.5931,0.8072,0.8161
42,472.4783,449.1386,0.9013,0.9104
43,765.4849,679.3473,0.8401,0.8645
44,1743.8682,1406.5376,0.6358,0.7194
45,547.6095,517.7711,0.8856,0.8967
46,757.1994,615.7337,0.8419,0.8772
47,652.2551,534.9567,0.8638,0.8933
48,576.6042,546.6854,0.8796,0.8909
49,953.1436,907.2928,0.8009,0.819
50,1932.902,1502.4012,0.5963,0.7003
51,708.6588,634.8779,0.852,0.8733
52,767.0777,618.3756,0.8398,0.8766
53,779.7088,777.0925,0.8372,0.845
54,1100.7659,952.1042,0.7701,0.81
55,1362.526,1437.518,0.7154,0.7132
56,910.2463,829.2663,0.8099,0.8345
57,850.4754,846.9698,0.8224,0.831
58,774.3903,717.1234,0.8383,0.8569
59,1204.3788,1144.9474,0.7485,0.7716
60,525.7397,390.7839,0.8902,0.922
61,1320.3231,1041.6852,0.7243,0.7922
62,1783.3306,1540.0757,0.6276,0.6927
63,1144.4718,974.0032,0.761,0.8057
64,462.9159,379.7485,0.9033,0.9242
65,411.02,376.3123,0.9142,0.9249
66,651.1883,539.4681,0.864,0.8924
67,795.8916,823.8411,0.8338,0.8356
68,630.1448,625.2121,0.8684,0.8753
69,755.339,676.3689,0.8423,0.8651
70,908.1714,726.9309,0.8103,0.855
71,1303.3725,1173.8323,0.7278,0.7658
72,662.8691,644.4267,0.8616,0.8714
73,998.0293,848.9172,0.7916,0.8306
74,516.7744,395.2778,0.8921,0.9211
75,700.0647,730.4462,0.8538,0.8543
76,722.1758,746.5336,0.8492,0.8511
77,293.6959,293.9283,0.9387,0.9414
78,752.9683,639.9218,0.8427,0.8723
79,1283.3241,1032.126,0.732,0.7941
80,1219.9375,1238.6155,0.7452,0.7529
81,787.0346,760.1836,0.8356,0.8483
82,639.3029,612.4913,0.8665,0.8778
83,646.4976,705.8515,0.865,0.8592
84,349.742,426.9157,0.927,0.9148
85,282.0695,261.4769,0.9411,0.9478
86,392.1498,338.1026,0.9181,0.9325
87,607.6957,743.6111,0.8731,0.8516
88,387.0876,451.7003,0.9192,0.9099
89,473.5211,596.3697,0.9011,0.881
90,1655.72,1246.2368,0.6542,0.7514
91,596.6777,675.6824,0.8754,0.8652
92,1201.9301,977.8601,0.749,0.8049
93,399.6799,440.5146,0.9165,0.9121
94,1064.3955,970.2807,0.7777,0.8064
95,377.3937,408.4273,0.9212,0.9185
96,692.5636,601.2563,0.8554,0.88
97,589.3864,670.0868,0.8769,0.8663
98,655.3469,644.5683,0.8631,0.8714
99,549.0471,648.7725,0.8853,0.8706
100,349.9406,394.0245,0.9269,0.9214
